Year,Month,Electric 2W,Electric 3W,Electric 4W,Electric Goods,Electric Bus,Total Registration
2015,Jan,92,27,66,0,0,185
2015,Feb,97,56,48,0,0,201
2015,Mar,130,27,35,0,0,192
2015,Apr,110,11,45,2,1,169
2015,May,87,42,57,4,1,191
2015,Jun,151,46,80,3,0,280
2015,Jul,107,17,58,8,6,196
2015,Aug,111,51,96,7,5,270
2015,Sep,124,77,36,5,7,249
2015,Oct,130,85,0,6,7,228
2015,Nov,107,10,70,6,14,207
2015,Dec,134,19,26,10,84,273
2016,Jan,116,171,197,4,0,488
2016,Feb,115,228,560,15,0,918
2016,Mar,125,427,587,2,0,1141
2016,Apr,112,291,270,11,2,686
2016,May,98,380,450,13,1,942
2016,Jun,147,489,550,9,1,1196
2016,Jul,121,417,351,9,0,898
2016,Aug,84,385,0,66,51,586
2016,Sep,96,399,75,9,20,599
2016,Oct,133,606,379,22,1,1141
2016,Nov,105,464,710,91,30,1400
2016,Dec,132,429,0,42,40,643
2017,Jan,105,435,193,12,0,745
2017,Feb,75,420,177,37,0,709
2017,Mar,131,549,814,22,0,1516
2017,Apr,98,474,493,108,0,1173
2017,May,90,671,616,25,31,1433
2017,Jun,123,717,485,73,1,1399
2017,Jul,111,877,373,49,0,1420
2017,Aug,101,890,494,42,0,1527
2017,Sep,105,741,811,47,60,1764
2017,Oct,168,724,913,58,0,1863
2017,Nov,216,959,697,88,13,1973
2017,Dec,196,871,410,193,1,1671
2018,Jan,177,857,97,113,0,1244
2018,Feb,172,690,319,269,11,1461
2018,Mar,505,700,510,580,10,2305
2018,Apr,510,660,716,86,59,2031
2018,May,721,728,622,38,83,2192
2018,Jun,1026,755,421,27,81,2310
2018,Jul,1320,984,617,99,70,3090
2018,Aug,1644,998,911,78,10,3641
2018,Sep,2375,1114,213,93,35,3830
2018,Oct,2660,1232,585,15,1,4493
2018,Nov,3463,1053,1200,16,7,5739
2018,Dec,3253,1252,913,22,86,5526
2019,Jan,2788,1055,473,10,36,4362
2019,Feb,3208,880,823,22,43,4976
2019,Mar,5953,902,524,23,6,7408
2019,Apr,3150,790,715,22,33,4710
2019,May,1715,826,917,22,55,3535
2019,Jun,1782,921,160,43,0,306
2019,Jul,1604,1077,312,65,35,3093
2019,Aug,1542,1155,515,71,280,3563
2019,Sep,1573,1435,219,71,33,3331
2019,Oct,2167,1326,623,41,82,4239
2019,Nov,3190,1555,523,22,50,5340
